pref,muni,rpv_cap_2014,rpv_cap_2015,rpv_cap_2016,rpv_cap_2017,rpv_cap_2018,rpv_cap_2019,rpv_cap_2020,rpv_cap_2021,rpv_cap_2022,rpv_cap_2023,rpv_no_2014,rpv_no_2015,rpv_no_2016,rpv_no_2017,rpv_no_2018,rpv_no_2019,rpv_no_2020,rpv_no_2021,rpv_no_2022,rpv_no_2023,pv_out,dmd_muni,pref_res_ene_share,dhouse_old,dhouse_new
北海道,札幌市,20742,24027,26463,28171,30031,33820,37528,41996,47889,53593,5284,5960,6471,6847,7216,7915,8578,9341,10369,11333,1331.9996504593914,8568474,0.3670036071242548,62200,224300
宮城県,仙台市,46570,53042,59757,65247,70458,77265,81988,87336,94876,102329,11732,13243,14752,15951,17075,18531,19539,20628,22057,23605,1190.047501766665,6095535,0.2976182798675724,41300,132100
埼玉県,さいたま市,25267,32737,39360,44507,49664,58038,64888,72592,82675,91901,6441,8197,9761,10910,12079,13979,15499,17236,19610,21966,1194.0493998278212,5539904,0.345324204559607,47700,174100
千葉県,千葉市,16456,21157,25458,28811,32290,37558,42128,47810,54125,60183,4155,5259,6228,6951,7708,8833,9810,10988,12268,13593,1240.193421760672,4996651,0.2591616193409785,36000,114900
神奈川県,横浜市,44178,55729,64723,70959,77479,88351,98288,109703,122152,134575,12121,15113,17223,18666,20257,22842,25115,27801,30724,33729,1192.488458208507,16791763,0.3252918480365693,140800,417700
神奈川県,川崎市,12479,15826,18429,20575,22739,26155,29056,32584,36228,40226,3338,4161,4799,5298,5834,6682,7339,8159,9060,10186,1195.2092469191498,11214964,0.3252918480365693,37400,121200
神奈川県,相模原市,14899,19161,22628,25281,27736,31751,35413,39298,44143,48887,3834,4831,5596,6167,6719,7608,8400,9230,10239,11303,1208.3867146474647,3686694,0.3252918480365693,29300,99000
新潟県,新潟市,21157,24228,27018,29561,32133,35156,37536,40365,43626,47210,5255,5882,6430,6910,7395,7998,8464,8978,9567,10233,1171.7397513473138,4184264,0.2643848132245212,58600,132800
静岡県,静岡市,54116,60883,66842,72138,76856,83597,89005,95303,103054,110141,13408,14917,16196,17341,18335,19757,20798,21985,23450,24800,1382.7713269019173,3797338,0.2760491066409921,45900,111400
静岡県,浜松市,80094,89216,98946,106284,112431,121969,130450,140099,151100,161435,19184,21072,23050,24570,25825,27761,29366,31035,32909,34647,1349.235725151304,4875027,0.2760491066409921,51800,135500
愛知県,名古屋市,68584,79741,90582,98875,106600,120280,132587,146277,163264,179390,16756,19142,21415,23182,24807,27668,30141,32763,36035,39484,1345.844692379605,13193574,0.2378897534386167,92800,218700
京都府,京都市,39540,44856,48955,52423,55960,59468,62902,66651,70486,74804,10759,12080,13075,13906,14725,15541,16271,17046,17861,18900,1267.9577960391978,7906563,0.3270706379309339,100800,183000
大阪府,大阪市,33504,37964,42356,45158,47790,51543,55060,59132,63808,68364,9574,10680,11776,12497,13117,13996,14771,15605,16539,17574,1305.8332871799637,20433573,0.3084422226152215,93600,195000
大阪府,堺市,41749,46307,49883,52518,55002,58050,61351,64937,69459,73492,11205,12224,13000,13576,14101,14760,15402,16026,16800,17590,1328.3883399542826,6209073,0.3084422226152215,49100,103000
兵庫県,神戸市,55588,61615,67005,70592,74396,79847,84516,90028,96519,101482,15023,16438,17694,18533,19357,20582,21573,22615,23851,24805,1327.1575407585253,9221530,0.271836237024375,55500,182300
岡山県,岡山市,24673,30302,37118,42719,47683,55058,62281,70181,78787,87615,5248,6400,7761,8888,9875,11355,12796,14282,15846,17609,1378.6127982408584,4493413,0.2114605881830007,53100,107400
広島県,広島市,22659,29232,35519,40976,46504,54764,61695,68438,77003,85861,5224,6661,7967,9110,10270,12047,13542,14953,16695,18736,1301.8940518824263,6198512,0.24312166309499,61800,137900
福岡県,北九州市,49174,55397,60506,65112,69237,76122,81321,86829,93449,99750,12440,13768,14876,15845,16687,18149,19173,20191,21433,22646,1265.0206533416756,6970201,0.3045300856366384,67800,101200
福岡県,福岡市,50379,56699,62632,67465,71999,79238,84454,90176,96967,103360,12489,13798,15039,16014,16907,18349,19348,20414,21652,22877,1246.1585912183389,8300434,0.3045300856366384,45900,102400
熊本県,熊本市,29778,38205,44088,49858,57792,69943,78939,87819,98393,107446,6477,8005,9120,10223,11699,14089,15716,17338,19195,20878,1247.3268887744339,3811645,0.3235476655840058,36600,96400
東京都,特別区部,140713,155108,166941,175696,184074,195522,205905,218577,235929,259753,38437,41945,44724,46721,48650,51380,53762,56618,60937,67156,1191.6528075966883,57111585,0.2929305826731678,262800,636300
