,rpv_cap_2023,detach_rpv_cap_new,detach_rpv_cap_old
Sapporo,53593,851868,248800
Sendai,102329,433980,165200
Saitama,91901,608536,190800
Chiba,60183,405228,144000
Yokohama,134575,1535884,563200
Kawasaki,40226,444056,149600
Sagamihara,48887,350788,117200
Niigata,47210,490268,234400
Shizuoka,110141,346400,183600
Hamamatsu,161435,403412,207200
Nagoya,179390,716864,371200
Kyoto,74804,656400,403200
Osaka,68364,709704,374400
Sakai,73492,341640,196400
Kobe,101482,629980,222000
Okayama,87615,359164,212400
Hiroshima,85861,476656,247200
Kitakyushu,99750,314216,271200
Fukuoka,103360,318092,183600
Kumamoto,107446,302088,146400
Tokyo,259753,2276576,1051200
