address,pref,county,muni,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
北海道札幌市,北海道,,札幌市,5284.0,5960.0,6471.0,6847.0,7216.0,7915.0,8578.0,9341.0,10369.0,11333.0
北海道函館市,北海道,,函館市,911.0,1015.0,1093.0,1146.0,1203.0,1280.0,1348.0,1409.0,1514.0,1624.0
北海道小樽市,北海道,,小樽市,259.0,290.0,307.0,320.0,324.0,338.0,363.0,389.0,427.0,459.0
北海道旭川市,北海道,,旭川市,1080.0,1207.0,1309.0,1374.0,1432.0,1528.0,1600.0,1695.0,1854.0,1993.0
北海道室蘭市,北海道,,室蘭市,334.0,361.0,384.0,404.0,417.0,470.0,521.0,559.0,603.0,651.0
北海道釧路市,北海道,,釧路市,1311.0,1455.0,1591.0,1682.0,1763.0,1867.0,1939.0,2026.0,2135.0,2237.0
北海道帯広市,北海道,,帯広市,1808.0,2083.0,2296.0,2436.0,2533.0,2708.0,2888.0,3006.0,3145.0,3325.0
北海道北見市,北海道,,北見市,1435.0,1527.0,1599.0,1657.0,1717.0,1776.0,1829.0,1889.0,1999.0,2134.0
北海道夕張市,北海道,,夕張市,10.0,12.0,18.0,18.0,20.0,21.0,21.0,24.0,25.0,27.0
北海道岩見沢市,北海道,,岩見沢市,266.0,284.0,305.0,317.0,339.0,354.0,377.0,412.0,462.0,492.0
北海道網走市,北海道,,網走市,282.0,304.0,328.0,335.0,345.0,353.0,363.0,374.0,403.0,433.0
北海道留萌市,北海道,,留萌市,12.0,16.0,19.0,20.0,21.0,28.0,30.0,36.0,42.0,43.0
北海道苫小牧市,北海道,,苫小牧市,837.0,964.0,1040.0,1078.0,1123.0,1206.0,1275.0,1345.0,1489.0,1608.0
北海道稚内市,北海道,,稚内市,22.0,36.0,38.0,46.0,50.0,55.0,59.0,60.0,62.0,62.0
北海道美唄市,北海道,,美唄市,43.0,48.0,53.0,61.0,68.0,72.0,76.0,79.0,84.0,87.0
北海道芦別市,北海道,,芦別市,31.0,32.0,37.0,39.0,42.0,43.0,51.0,59.0,68.0,71.0
北海道江別市,北海道,,江別市,464.0,525.0,581.0,599.0,638.0,717.0,789.0,880.0,1036.0,1149.0
北海道赤平市,北海道,,赤平市,10.0,12.0,11.0,11.0,13.0,17.0,19.0,22.0,24.0,28.0
北海道紋別市,北海道,,紋別市,65.0,70.0,76.0,80.0,82.0,88.0,90.0,101.0,108.0,119.0
北海道士別市,北海道,,士別市,60.0,72.0,79.0,83.0,85.0,90.0,95.0,98.0,107.0,119.0
北海道名寄市,北海道,,名寄市,76.0,92.0,108.0,118.0,122.0,130.0,145.0,149.0,160.0,179.0
北海道三笠市,北海道,,三笠市,8.0,8.0,11.0,11.0,14.0,15.0,15.0,17.0,20.0,23.0
北海道根室市,北海道,,根室市,46.0,54.0,71.0,83.0,102.0,121.0,136.0,143.0,164.0,181.0
北海道千歳市,北海道,,千歳市,667.0,744.0,775.0,796.0,831.0,883.0,933.0,997.0,1059.0,1119.0
北海道滝川市,北海道,,滝川市,95.0,105.0,114.0,118.0,121.0,132.0,140.0,153.0,173.0,192.0
北海道砂川市,北海道,,砂川市,41.0,49.0,53.0,55.0,56.0,61.0,65.0,73.0,86.0,102.0
北海道歌志内市,北海道,,歌志内市,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0
北海道深川市,北海道,,深川市,59.0,73.0,84.0,94.0,104.0,117.0,124.0,134.0,139.0,144.0
